problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.320,5.16796875,,2,1,2,5,5,0,0
s2,RUNTIME_ERROR,2,37.04%,0.060,3.09765625,,0,0,2,0,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.090,2.58984375,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,2.00%,0.150,13.12890625,,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,0,0.88%,1.160,5.9375,,0,0,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,5,23.21%,4.420,99.5234375,,5,0,0,0,0,0,0
d1p2,RUNTIME_ERROR,0,0.00%,0.590,55.09765625,,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,0.260,47.1875,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.050,1.8125,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.00%,0.140,4.39453125,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,1.15%,4.420,35.5859375,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,RUNTIME_ERROR,0,40.00%,0.000,0,,0,0,0,0,0,0,0
j3,RUNTIME_ERROR,6,22.22%,0.070,2.33203125,,6,0,0,0,0,0,0
j4,RUNTIME_ERROR,0,0.00%,0.060,2.078125,,0,0,0,0,0,0,0
j5,ACCEPTED,15,100.00%,0.050,1.5546875,,1,4,5,5,0,0,0
TOTAL,,58,26.66%,,,18.75%,,,,,,,
