problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.040,1.81640625,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,0.00%,0.120,1.953125,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,RUNTIME_ERROR,0,3.57%,0.110,31.84765625,,0,0,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,49.62%,0.020,0,,0,0,0,0,0,0,0,0,0,0
parentheses,RUNTIME_ERROR,0,3.88%,0.020,3.36328125,,0,0,0,0,0,0,0,0,0,0
tolls,RUNTIME_ERROR,60,92.75%,0.190,9.359375,,0,5,5,10,20,0,20,0,0,0
twins,RUNTIME_ERROR,40,35.88%,0.020,2.34765625,,40,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.020,0.00390625,,0,0,0,0,0,0,0,0,0,0
xy,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
TOTAL,,125,17.55%,,,0.00%,,,,,,,,,,
